Video Id,Error message
3LPANjHlPxo,'commentCount'
j9xml1CxgXI,'likeCount'
ltwvKLnj1B4,list index out of range
twTksx_lWB4,'likeCount'
-C-xXZyX2zU,'NoneType' object has no attribute 'groups'
SCOxEKkuWG4,list index out of range
tVdn8JH91Dg,'likeCount'
a6lGULmQdb0,list index out of range
JXxFESHwnX0,list index out of range
Ns17RQr1yK8,list index out of range
Rieq_TR7cV0,list index out of range
qPPUmzK5pPc,list index out of range
lsmXhM4yfU0,'NoneType' object has no attribute 'groups'
RAYuASqrs94,list index out of range
zEY1dPRUrVU,list index out of range
eETnzbLwTs8,list index out of range
#NAME?,list index out of range
K4MltltKq4k,'commentCount'
jG9pUsmjAO8,'likeCount'
moJMVGICPc4,list index out of range
mRX2-vM4eYQ,list index out of range
yoIBXVm_B9Y,'commentCount'
Psql1jhaIiA,'likeCount'
9J6qOSUJXy0,list index out of range
z7oSfRVevzU,'likeCount'
Qd_88LUuHGU,list index out of range
dxduMVVnrvU,list index out of range
9gQuxMD5jzU,'likeCount'
c_Q1WwePBNI,list index out of range
rZU6xGcShw8,'likeCount'
jL4l_tyPC0Y,'commentCount'
69ZoLvE9SpQ,list index out of range
o6trRzB8fiA,'likeCount'
PQJW7o37XJo,'likeCount'
HBel3A1-f2c,list index out of range
0AvkCamSj5o,'likeCount'
De29KipeZQw,list index out of range
vBS92ui_h74,'likeCount'
cR1Zvw5MmLs,'NoneType' object has no attribute 'groups'
oA7M9qSJKrE,'commentCount'
vUn8MuKaOxQ,list index out of range
ZMTOFv3-hic,list index out of range
#NAME?,list index out of range
9uBpp-qIIp8,'commentCount'
VsRIJqOXH-U,list index out of range
Sr60MOJ_fhc,'likeCount'
cooYPruKl78,'commentCount'
x_aXAlSl02U,list index out of range
FoIulZLn_uY,list index out of range
5zI1PtnNXOs,list index out of range
qiBfZs6P6OA,list index out of range
uau-JNTHON8,list index out of range
nKldiFbwf4w,list index out of range
l25067DO9mo,list index out of range
wyBB6G6pWC8,list index out of range
Uwnm9QAwhzE,'commentCount'
e3ZtOS4MCkk,'likeCount'
0WhJt46AhFk,list index out of range
cc0Az3IJFOU,'likeCount'
qXVX24JoOB8,list index out of range
MdZaOB03b1U,'likeCount'
wWTm1mQlnfg,'likeCount'
8n2AQuAUSEQ,list index out of range
xUnz3llwIjE,list index out of range
bdKOtQlUS6s,'likeCount'
OaTEaKhXfzM,list index out of range
YyJvOuxZDHY,'likeCount'
yxbLkx8A1WI,'NoneType' object has no attribute 'groups'
I8mWmRSVrbM,list index out of range
4eR7bo9Ertk,list index out of range
hQR4_rT0qB4,'commentCount'
YEcfZNdleCY,'likeCount'
irIUyh38WFw,'likeCount'
vFjjVTrgBmM,'likeCount'
zr7YfmdIDjU,'likeCount'
zj-HQUCgZww,list index out of range
6MANr3__teY,list index out of range
4wNfb1lh7oE,'likeCount'
NavcqMwqD4w,'likeCount'
tNxozZb7jr4,list index out of range
Yxa7yLhYDg8,'commentCount'
_mNts8Qoms4,list index out of range
1jmKLl95NZ8,'commentCount'
RSTZl1bENrc,'likeCount'
